leaid,leaname,BLP,BLPPer,HSP,HSPPer,MFI,grade,Region,gapblk_ela,gapseblk_ela,gaphsp_ela,gapsehsp_ela,gapblk_math,gapseblk_math,gaphsp_math,gapsehsp_math,racepercent_ela,racepercent_math,fipst
3700360,BERTIE COUNTY SCHOOLS,11993,62.5,218,1.1,39873,3,1,0.47083771,0.24868231,,,0.50267541,0.23651575,,,0.9952153,0.9952153,37
3700360,BERTIE COUNTY SCHOOLS,11993,62.5,218,1.1,39873,5,1,0.053759366,0.24818267,,,0.22394574,0.23160888,,,0.99047619,0.99047619,37
3700360,BERTIE COUNTY SCHOOLS,11993,62.5,218,1.1,39873,7,1,0.82165098,0.1967472,,,0.55068678,0.21611382,,,0.99567097,0.99567097,37
3700360,BERTIE COUNTY SCHOOLS,11993,62.5,218,1.1,39873,8,1,0.41284218,0.20957814,,,0.42627892,0.23227836,,,0.99595141,0.99596775,37
3700390,BLADEN COUNTY SCHOOLS,11252,34.7,1929,6,41444,3,4,0.63416344,0.12106293,0.23359632,0.1731222,0.52701592,0.12387965,0.17905894,0.17843352,0.97607654,0.97607654,37
3700390,BLADEN COUNTY SCHOOLS,11252,34.7,1929,6,41444,4,4,0.62740129,0.11986514,0.74744797,0.17133865,0.69125181,0.1249966,0.13535124,0.18730533,0.98263025,0.98263025,37
3700390,BLADEN COUNTY SCHOOLS,11252,34.7,1929,6,41444,5,4,0.3488633,0.12272442,0.48996019,0.21323414,0.32661092,0.12438127,0.066676736,0.21286725,0.97074467,0.97074467,37
3700390,BLADEN COUNTY SCHOOLS,11252,34.7,1929,6,41444,6,4,0.56264347,0.123758,0.55875528,0.22119501,0.51427692,0.12804662,0.090110451,0.21818951,0.98143238,0.98143238,37
3700390,BLADEN COUNTY SCHOOLS,11252,34.7,1929,6,41444,7,4,0.44316661,0.11338798,0.36726162,0.19208814,0.29678854,0.11757857,0.18521164,0.20601076,0.98522168,0.98522168,37
3700390,BLADEN COUNTY SCHOOLS,11252,34.7,1929,6,41444,8,4,0.6460371,0.12029636,0.63731456,0.23214661,0.41051283,0.12134545,0.17130873,0.22699417,0.99206346,0.99206346,37
3700420,BRUNSWICK COUNTY SCHOOLS,9099,9.2,2760,2.8,52465,3,2,0.87869632,0.089166865,0.48083153,0.14337978,0.84370428,0.098386779,0.57394016,0.13154139,0.94525903,0.94525903,37
3700420,BRUNSWICK COUNTY SCHOOLS,9099,9.2,2760,2.8,52465,4,2,0.8116371,0.096256368,0.73024035,0.12165633,0.7251339,0.098723583,0.56552935,0.12419755,0.93587172,0.93580741,37
3700420,BRUNSWICK COUNTY SCHOOLS,9099,9.2,2760,2.8,52465,5,2,0.807742,0.10276465,0.5123049,0.14257436,0.78298545,0.10999405,0.27005431,0.15907097,0.9482379,0.9482379,37
3700420,BRUNSWICK COUNTY SCHOOLS,9099,9.2,2760,2.8,52465,6,2,0.62787551,0.089490153,0.35062984,0.15366238,0.67045784,0.094617717,0.35521072,0.1512218,0.95748991,0.95744681,37
3700420,BRUNSWICK COUNTY SCHOOLS,9099,9.2,2760,2.8,52465,7,2,0.6146881,0.092884928,0.64950424,0.15788823,0.63782352,0.097366638,0.7018519,0.15725519,0.95278972,0.95268816,37
3700420,BRUNSWICK COUNTY SCHOOLS,9099,9.2,2760,2.8,52465,8,2,0.88947171,0.099043451,0.58533919,0.18511569,0.69244391,0.094968893,0.13818271,0.20158318,0.97535211,0.97535211,37
3700450,BUNCOMBE COUNTY SCHOOLS,9585,5,8642,4.5,55787,3,8,0.80348146,0.098304585,0.56241769,0.079262979,0.75921088,0.10636849,0.38041893,0.077980384,0.94612479,0.94620103,37
3700450,BUNCOMBE COUNTY SCHOOLS,9585,5,8642,4.5,55787,4,8,0.89131683,0.11285479,0.82454526,0.087783262,0.84378481,0.10888678,0.55412203,0.090874672,0.9391892,0.93927711,37
3700450,BUNCOMBE COUNTY SCHOOLS,9585,5,8642,4.5,55787,5,8,0.73796469,0.1138166,0.91850108,0.089623459,0.81975108,0.11750735,0.65177494,0.087949224,0.94799179,0.94804525,37
3700450,BUNCOMBE COUNTY SCHOOLS,9585,5,8642,4.5,55787,6,8,0.98431832,0.11407448,0.79036671,0.096209243,0.90359628,0.11086037,0.57016695,0.09508162,0.94532448,0.94540817,37
3700450,BUNCOMBE COUNTY SCHOOLS,9585,5,8642,4.5,55787,7,8,0.74150437,0.10082757,0.67147166,0.093307927,0.86737192,0.10398337,0.56210917,0.097786173,0.95411938,0.95418721,37
3700450,BUNCOMBE COUNTY SCHOOLS,9585,5,8642,4.5,55787,8,8,0.70401317,0.10909793,0.64676493,0.097853966,0.63180918,0.10686454,0.4858475,0.093920313,0.95807773,0.9581846,37
3700480,BURKE COUNTY SCHOOLS,5846,6.6,4548,5.1,45784,3,7,0.71024692,0.13686402,0.56271034,0.12747166,0.91085804,0.15051548,0.1537286,0.14043643,0.95479703,0.95479703,37
3700480,BURKE COUNTY SCHOOLS,5846,6.6,4548,5.1,45784,4,7,0.31597728,0.1504979,0.36483282,0.1308617,0.56515563,0.14814042,0.27015087,0.13105792,0.94545454,0.94550669,37
3700480,BURKE COUNTY SCHOOLS,5846,6.6,4548,5.1,45784,5,7,0.37952125,0.15865113,0.43862557,0.15339553,0.44251162,0.16345391,0.28104705,0.15159513,0.9512195,0.9512195,37
3700480,BURKE COUNTY SCHOOLS,5846,6.6,4548,5.1,45784,6,7,0.29772753,0.15092042,0.67857403,0.14739752,0.74835706,0.16149908,0.40294188,0.14555052,0.96317828,0.96321392,37
3700480,BURKE COUNTY SCHOOLS,5846,6.6,4548,5.1,45784,7,7,0.57734686,0.1160794,0.49442309,0.14211823,0.72757918,0.1282623,0.26742071,0.14115913,0.95727271,0.95731151,37
3700480,BURKE COUNTY SCHOOLS,5846,6.6,4548,5.1,45784,8,7,0.74482393,0.14167549,0.46346796,0.16389145,0.72744209,0.13942288,0.27628163,0.14262865,0.96478218,0.96478218,37
