leaid,leaname,BLPPer,HSPPer,MFI,grade,Region,gapblk_ela,gaphsp_ela,gapblk_math,gaphsp_math,racepercent_ela
3700630,CARTERET COUNTY PUBLIC SCHOOLS,6.9,2.3,56897,4,2,0.70954996,0.42505205,0.84035689,0.42119193,0.95666134
3700630,CARTERET COUNTY PUBLIC SCHOOLS,6.9,2.3,56897,5,2,0.88985801,0.88154244,1.1757158,0.97107208,0.95741326
3700630,CARTERET COUNTY PUBLIC SCHOOLS,6.9,2.3,56897,6,2,0.68144667,,0.82195401,,0.97314376
3700630,CARTERET COUNTY PUBLIC SCHOOLS,6.9,2.3,56897,7,2,0.39232796,,0.8190071,,0.95688224
3700630,CARTERET COUNTY PUBLIC SCHOOLS,6.9,2.3,56897,8,2,0.82527953,,0.92877042,,0.9737249
3700660,CASWELL COUNTY SCHOOLS,34.1,2.6,43534,3,5,0.72145182,0.91353029,0.98862547,0.61581266,0.94871795
3700660,CASWELL COUNTY SCHOOLS,34.1,2.6,43534,4,5,0.57535797,,0.6148029,,0.97489542
3700660,CASWELL COUNTY SCHOOLS,34.1,2.6,43534,5,5,0.3027415,,0.25964835,,0.97424895
3700660,CASWELL COUNTY SCHOOLS,34.1,2.6,43534,6,5,0.3964273,,0.43208313,,0.98165137
3700660,CASWELL COUNTY SCHOOLS,34.1,2.6,43534,7,5,0.71806312,,0.4125486,,0.97747749
3700660,CASWELL COUNTY SCHOOLS,34.1,2.6,43534,8,5,0.69651663,,0.65031022,,0.95510203
3700690,CATAWBA COUNTY SCHOOLS,5.4,6.6,55960,3,7,1.0816225,0.89283144,1.1201336,0.52239484,0.94945848
3700690,CATAWBA COUNTY SCHOOLS,5.4,6.6,55960,4,7,0.76246166,0.67302746,0.67459452,0.45413303,0.9642058
3700690,CATAWBA COUNTY SCHOOLS,5.4,6.6,55960,5,7,0.68880248,0.8102358,0.62273657,0.4280875,0.95602727
3700690,CATAWBA COUNTY SCHOOLS,5.4,6.6,55960,6,7,0.54183859,0.62098861,0.65180433,0.57625395,0.96262395
3700690,CATAWBA COUNTY SCHOOLS,5.4,6.6,55960,7,7,0.62120354,0.57896829,0.83547074,0.29961869,0.95472598
3700690,CATAWBA COUNTY SCHOOLS,5.4,6.6,55960,8,7,0.47327065,0.59845263,0.57422233,0.4244805,0.96686304
3700720,CHAPEL HILL-CARRBORO SCHOOLS,11.6,5.1,93831,3,3,1.5358361,1.5975502,1.3128697,1.5794879,0.92579508
3700720,CHAPEL HILL-CARRBORO SCHOOLS,11.6,5.1,93831,4,3,1.7186354,1.3266758,1.699757,1.0820404,0.91266912
3700720,CHAPEL HILL-CARRBORO SCHOOLS,11.6,5.1,93831,5,3,1.5016789,1.4006783,1.6573724,1.2895669,0.93425608
3700720,CHAPEL HILL-CARRBORO SCHOOLS,11.6,5.1,93831,6,3,1.4965078,1.6286545,1.6201494,1.3770013,0.94394618
3700720,CHAPEL HILL-CARRBORO SCHOOLS,11.6,5.1,93831,7,3,1.7382739,1.2966851,1.5336976,1.1366377,0.94799054
3700720,CHAPEL HILL-CARRBORO SCHOOLS,11.6,5.1,93831,8,3,1.6780391,1.3163102,1.4335079,1.123515,0.9361949
3700750,CHATHAM COUNTY SCHOOLS,13.3,12.2,65914,3,3,1.045907,1.0379076,1.0444814,0.73849577,0.95135909
3700750,CHATHAM COUNTY SCHOOLS,13.3,12.2,65914,4,3,0.80892086,1.0959218,1.0273474,0.79594254,0.95558959
3700750,CHATHAM COUNTY SCHOOLS,13.3,12.2,65914,5,3,1.151632,1.1315364,1.0007739,0.96013761,0.93643409
3700750,CHATHAM COUNTY SCHOOLS,13.3,12.2,65914,6,3,0.96218449,0.95135266,0.91335702,0.97292382,0.95585996
3700750,CHATHAM COUNTY SCHOOLS,13.3,12.2,65914,7,3,0.87495685,0.7497763,0.9694919,0.80195194,0.95547944
3700750,CHATHAM COUNTY SCHOOLS,13.3,12.2,65914,8,3,0.56891173,0.85924619,0.67539251,0.71640503,0.96805114
3700840,EDENTON/CHOWAN SCHOOLS,35.5,2.1,37825,3,1,0.95087367,,1.0498315,,0.97175139
3700840,EDENTON/CHOWAN SCHOOLS,35.5,2.1,37825,4,1,0.99323028,,1.1760476,,0.97076023
3700840,EDENTON/CHOWAN SCHOOLS,35.5,2.1,37825,5,1,1.0020175,,1.2921569,,0.98064518
3700840,EDENTON/CHOWAN SCHOOLS,35.5,2.1,37825,6,1,0.86612356,,0.95862198,,0.96938777
3700840,EDENTON/CHOWAN SCHOOLS,35.5,2.1,37825,7,1,1.2201201,,0.84459573,,0.97530866
3700840,EDENTON/CHOWAN SCHOOLS,35.5,2.1,37825,8,1,1.2701513,,0.80525726,,0.99479169
3700900,CLEVELAND COUNTY SCHOOLS,20.4,2.1,47690,3,6,0.62109548,0.8623935,0.64865845,0.47390464,0.96698111
3700900,CLEVELAND COUNTY SCHOOLS,20.4,2.1,47690,4,6,0.59742111,0.44711742,0.66781282,0.078328893,0.95659298
3700900,CLEVELAND COUNTY SCHOOLS,20.4,2.1,47690,5,6,0.71549553,0.7939412,0.59869891,0.49722782,0.97222221
3700900,CLEVELAND COUNTY SCHOOLS,20.4,2.1,47690,6,6,0.71660435,0.2874057,0.81165195,0.53624338,0.97347265
3700900,CLEVELAND COUNTY SCHOOLS,20.4,2.1,47690,7,6,0.59500122,0.19922811,0.64437699,0.23927501,0.98168194
3700900,CLEVELAND COUNTY SCHOOLS,20.4,2.1,47690,8,6,0.86176193,0.46669379,0.60696411,0.28946313,0.97531849
3700930,CLINTON CITY SCHOOLS,32.8,14.4,43438,3,4,1.0823572,0.89817697,1.1120949,0.78612393,0.96551722
3700930,CLINTON CITY SCHOOLS,32.8,14.4,43438,4,4,1.0442487,0.91720623,1.3432597,0.93807912,0.97211158
3700930,CLINTON CITY SCHOOLS,32.8,14.4,43438,5,4,1.0806932,0.9075039,0.91556251,0.57407671,0.96536797
3700930,CLINTON CITY SCHOOLS,32.8,14.4,43438,6,4,0.72382504,,0.76170164,,0.95909089
3700930,CLINTON CITY SCHOOLS,32.8,14.4,43438,7,4,0.83995706,0.8489936,0.73787236,0.52348208,0.98104268
3700930,CLINTON CITY SCHOOLS,32.8,14.4,43438,8,4,0.93027848,0.61532712,1.026154,0.58393896,0.97844827
3700960,COLUMBUS COUNTY SCHOOLS,28.3,3.7,41834,3,4,0.76552969,0.50493324,0.72251487,0.31230295,0.98311442
3700960,COLUMBUS COUNTY SCHOOLS,28.3,3.7,41834,4,4,0.57333016,0.82929456,0.58751959,0.56416357,0.98909092
3700960,COLUMBUS COUNTY SCHOOLS,28.3,3.7,41834,5,4,0.70161247,0.72176439,0.75583136,0.4589445,0.98245615
3700960,COLUMBUS COUNTY SCHOOLS,28.3,3.7,41834,6,4,0.63256103,0.42119402,0.57372993,0.32087606,0.97925311
3700960,COLUMBUS COUNTY SCHOOLS,28.3,3.7,41834,7,4,0.55859762,0.6766907,0.52032763,0.34949222,0.97378278
3700960,COLUMBUS COUNTY SCHOOLS,28.3,3.7,41834,8,4,0.40725368,0.75266033,0.54656464,0.44166514,0.99053031
3701080,CURRITUCK COUNTY SCHOOLS,7.2,2.2,66374,3,1,0.6268158,,0.841111,,0.96153843
3701080,CURRITUCK COUNTY SCHOOLS,7.2,2.2,66374,4,1,0.59062135,,0.71372885,,0.94328356
3701080,CURRITUCK COUNTY SCHOOLS,7.2,2.2,66374,5,1,0.5883112,,0.42769924,,0.97411001
3701080,CURRITUCK COUNTY SCHOOLS,7.2,2.2,66374,7,1,0.59110904,,0.34810692,,0.96894407
3701110,DARE COUNTY SCHOOLS,3.7,3.5,66265,3,1,,0.62329578,,0.3413606,0.95041323
3701110,DARE COUNTY SCHOOLS,3.7,3.5,66265,4,1,,1.2037088,,0.6638695,0.9511494
3701110,DARE COUNTY SCHOOLS,3.7,3.5,66265,5,1,,0.95267689,,0.621373,0.97619045
3701110,DARE COUNTY SCHOOLS,3.7,3.5,66265,6,1,,0.99317199,,0.72558939,0.9755435
3701110,DARE COUNTY SCHOOLS,3.7,3.5,66265,7,1,,0.5512197,,0.56450242,0.97027028
3701110,DARE COUNTY SCHOOLS,3.7,3.5,66265,8,1,,1.0236328,,0.24790011,0.9839142
3701140,DAVIDSON COUNTY SCHOOLS,3.5,1.9,58646,3,5,0.35436541,0.6638754,0.31488037,0.47519162,0.97423315
3701140,DAVIDSON COUNTY SCHOOLS,3.5,1.9,58646,4,5,0.72730577,0.48251328,0.67579561,0.27174774,0.97113532
3701140,DAVIDSON COUNTY SCHOOLS,3.5,1.9,58646,5,5,0.64827991,0.35486305,0.61440182,0.38646251,0.98275864
3701140,DAVIDSON COUNTY SCHOOLS,3.5,1.9,58646,6,5,0.52798152,0.30885917,0.6810686,0.27116936,0.98218828
3701140,DAVIDSON COUNTY SCHOOLS,3.5,1.9,58646,7,5,0.41349083,0.53969038,0.55568856,0.28206679,0.98515773
3701140,DAVIDSON COUNTY SCHOOLS,3.5,1.9,58646,8,5,0.72057706,0.29141495,0.57515693,0.16671653,0.98954248
3701170,DAVIE COUNTY SCHOOLS,7.1,6.2,61343,3,5,0.67081577,0.87959951,0.87177259,0.88053423,0.95938104
3701170,DAVIE COUNTY SCHOOLS,7.1,6.2,61343,4,5,0.78289771,0.8178038,1.0170012,0.65579909,0.94455069
3701170,DAVIE COUNTY SCHOOLS,7.1,6.2,61343,5,5,0.15574363,0.71788096,0.75115156,0.38652337,0.95344508
3701170,DAVIE COUNTY SCHOOLS,7.1,6.2,61343,6,5,1.3331555,0.98780513,,0.8644653,0.9612245
3701170,DAVIE COUNTY SCHOOLS,7.1,6.2,61343,7,5,0.48909017,0.82940465,0.25892958,0.8274315,0.959144
3701170,DAVIE COUNTY SCHOOLS,7.1,6.2,61343,8,5,0.66902035,0.57370335,0.78352118,0.34003091,0.971223
3701200,DUPLIN COUNTY SCHOOLS,25.6,20.5,41413,3,2,0.68869084,0.85735703,0.7936613,0.50403225,0.97018969
3701200,DUPLIN COUNTY SCHOOLS,25.6,20.5,41413,4,2,0.73967129,0.51126605,0.77735293,0.32563734,0.96974063
3701200,DUPLIN COUNTY SCHOOLS,25.6,20.5,41413,5,2,0.89048672,0.67205596,0.77714205,0.34779739,0.97390109
3701200,DUPLIN COUNTY SCHOOLS,25.6,20.5,41413,6,2,0.71001971,0.56583858,0.6335032,0.27749631,0.97822934
3701200,DUPLIN COUNTY SCHOOLS,25.6,20.5,41413,7,2,0.59288818,0.66328794,0.71583188,0.40588814,0.98073834
3701200,DUPLIN COUNTY SCHOOLS,25.6,20.5,41413,8,2,0.79712385,0.73671544,0.57914948,0.35346362,0.97389889
3701260,DURHAM PUBLIC SCHOOLS,36.3,11.3,61607,3,3,1.0898796,1.2103469,1.1353921,1.0006711,0.95988935
3701260,DURHAM PUBLIC SCHOOLS,36.3,11.3,61607,4,3,1.1288236,1.2508994,1.0722853,0.92634535,0.96440744
3701260,DURHAM PUBLIC SCHOOLS,36.3,11.3,61607,5,3,1.0678123,1.2536913,0.9191016,0.79343796,0.96430022
3701260,DURHAM PUBLIC SCHOOLS,36.3,11.3,61607,6,3,0.98991728,1.0009744,1.0168253,0.86385393,0.95551896
3701260,DURHAM PUBLIC SCHOOLS,36.3,11.3,61607,7,3,1.0764792,1.2424123,1.0605432,1.1228759,0.9680568
3701260,DURHAM PUBLIC SCHOOLS,36.3,11.3,61607,8,3,1.1747919,1.3304483,1.0954251,1.0470427,0.96519411
3701320,EDGECOMBE COUNTY SCHOOLS,45.7,5.2,44874,3,3,0.69785672,0.69902563,0.69104946,0.47830281,0.97959185
3701320,EDGECOMBE COUNTY SCHOOLS,45.7,5.2,44874,4,3,0.53619754,0.50939977,0.53910822,0.15546018,0.98255813
3701320,EDGECOMBE COUNTY SCHOOLS,45.7,5.2,44874,5,3,0.72086948,0.66924816,0.70645165,0.45016393,0.99232244
3701320,EDGECOMBE COUNTY SCHOOLS,45.7,5.2,44874,6,3,0.68674207,0.46272433,0.65711188,0.10637223,0.98676747
3701320,EDGECOMBE COUNTY SCHOOLS,45.7,5.2,44874,7,3,0.61327821,0.37127125,0.51469958,0.096019506,0.98754448
3701320,EDGECOMBE COUNTY SCHOOLS,45.7,5.2,44874,8,3,0.84718341,,0.70634538,,0.99191922
3701380,ELKIN CITY SCHOOLS,2.8,12.8,49718,7,5,,0.43334174,,0.25498867,1
3701500,FORSYTH COUNTY SCHOOLS,25,10,60637,3,5,0.97029293,1.2119353,0.99105412,0.87340891,0.95317495
3701500,FORSYTH COUNTY SCHOOLS,25,10,60637,4,5,0.98534471,0.98964804,0.98186892,0.79800469,0.95785713
3701500,FORSYTH COUNTY SCHOOLS,25,10,60637,5,5,0.99693716,1.1302629,0.9833141,0.92210519,0.95525002
3701500,FORSYTH COUNTY SCHOOLS,25,10,60637,6,5,1.0030509,1.0802701,0.96445841,0.88664502,0.95919394
3701500,FORSYTH COUNTY SCHOOLS,25,10,60637,7,5,1.0068804,1.0372113,1.0017892,0.90556782,0.95821214
3701500,FORSYTH COUNTY SCHOOLS,25,10,60637,8,5,0.93441325,0.97057986,0.86075687,0.77516687,0.96284986
3701530,FRANKLIN COUNTY SCHOOLS,26.5,7,51318,3,3,0.80117846,0.66399932,0.70023137,0.64534754,0.96515149
3701530,FRANKLIN COUNTY SCHOOLS,26.5,7,51318,4,3,0.7782377,0.62693429,0.88266993,0.38900408,0.96601939
3701530,FRANKLIN COUNTY SCHOOLS,26.5,7,51318,5,3,0.51088643,0.87778163,0.52457416,0.57851112,0.96335876
